Name,Brand,Category,Price,Rating,Ingredients,Description,price_category,dry_skin_compatibility,oily_skin_compatibility,sensitive_skin_compatibility,combination_skin_compatibility,normal_skin_compatibility
Maybelline Foundation That,Maybelline,Foundation,70.13,3.0,Glycolic Acid Chamomile Niacinamide,A clarifying and pore minimizing foundation enriched with Glycolic Acid and Chamomile,luxury,0.0,0.5,0.5,0.5,0.0
Laneige Moisturizer Do,Laneige,Moisturizer,75.12,3.7,Salicylic Acid Kaolin Niacinamide Glycolic Acid Jojoba Oil,A mattifying and calming moisturizer enriched with Salicylic Acid and Kaolin,luxury,0.5,1.0,0.0,1.0,0.0
Drunk Elephant Serum I,Drunk Elephant,Serum,30.14,5.0,Ceramides Glycerin Green Tea Jojoba Oil,A revitalizing and mattifying serum enriched with Ceramides and Glycerin,affordable,1.0,0.0,0.5,1.0,0.0
NYX Concealer Billion,NYX,Concealer,44.6,3.8,Ceramides Aloe Vera Argan Oil Jojoba Oil Vitamin C,A brightening and soothing concealer enriched with Ceramides and Aloe Vera,affordable,1.0,0.0,0.5,1.0,1.0
Neutrogena Foundation Product,Neutrogena,Foundation,11.19,4.4,Madecassoside Witch Hazel Glycolic Acid Salicylic Acid Retinol Kaolin Charcoal,A pore minimizing and nourishing foundation enriched with Madecassoside and Witch Hazel,budget,0.0,1.0,0.0,0.0,0.0
Estee Lauder Sunscreen Region,Estee Lauder,Sunscreen,44.27,3.5,Centella Asiatica Aloe Vera Bisabolol Oatmeal Chamomile Madecassoside,A pore minimizing and anti aging sunscreen enriched with Centella Asiatica and Aloe Vera,affordable,0.5,0.0,1.0,0.5,0.5
Maybelline Eyeshadow Baby,Maybelline,Eyeshadow,11.31,3.8,Niacinamide Vitamin E,A pore minimizing and revitalizing eyeshadow enriched with Niacinamide and Vitamin E,budget,0.0,0.5,0.0,1.0,0.5
Glossier Cleanser Listen,Glossier,Cleanser,18.55,4.8,Kaolin Squalane Niacinamide Hyaluronic Acid,A nourishing and brightening cleanser enriched with Kaolin and Squalane,budget,1.0,0.5,0.0,1.0,0.0
Drunk Elephant Concealer Though,Drunk Elephant,Concealer,67.88,4.8,Niacinamide Aloe Vera Squalane Ceramides Peptides Vitamin E Green Tea,A clarifying and brightening concealer enriched with Niacinamide and Aloe Vera,premium,1.0,0.5,1.0,1.0,1.0
Glossier Sunscreen History,Glossier,Sunscreen,74.88,4.8,Allantoin Bisabolol Calendula Chamomile,A brightening and soothing sunscreen enriched with Allantoin and Bisabolol,luxury,0.0,0.0,1.0,0.0,0.0
Estee Lauder Serum Road,Estee Lauder,Serum,82.24,3.5,Jojoba Oil Hyaluronic Acid Shea Butter Madecassoside Squalane,A anti aging and pore minimizing serum enriched with Jojoba Oil and Hyaluronic Acid,luxury,1.0,0.0,0.0,1.0,0.0
Tatcha Moisturizer Test,Tatcha,Moisturizer,40.69,4.9,Glycolic Acid Coenzyme Q10 Squalane Antioxidants Vitamin E Aloe Vera Peptides,A calming and hydrating moisturizer enriched with Glycolic Acid and Coenzyme Q10,affordable,1.0,0.0,0.5,1.0,1.0
Estee Lauder Moisturizer This,Estee Lauder,Moisturizer,78.58,5.0,Kaolin Panthenol Chamomile Green Tea,A mattifying and soothing moisturizer enriched with Kaolin and Panthenol,luxury,0.0,0.0,1.0,0.0,0.0
Rare Beauty Eyeshadow Despite,Rare Beauty,Eyeshadow,68.09,4.2,Vitamin E Panthenol Peptides Shea Butter,A mattifying and hydrating eyeshadow enriched with Vitamin E and Panthenol,premium,0.5,0.0,0.0,0.5,1.0
Clinique Sunscreen Approach,Clinique,Sunscreen,33.95,4.8,Glycolic Acid Antioxidants Aloe Vera Glycerin,A calming and hydrating sunscreen enriched with Glycolic Acid and Antioxidants,affordable,1.0,0.0,0.5,1.0,1.0
Clinique Eyeshadow Push,Clinique,Eyeshadow,57.43,3.1,Witch Hazel Kaolin Retinol Clay Tea Tree Oil Vitamin E Zinc,A mattifying and anti aging eyeshadow enriched with Witch Hazel and Kaolin,premium,0.0,1.0,0.0,0.5,0.5
Innisfree Serum Low,Innisfree,Serum,47.22,3.7,Niacinamide Jojoba Oil Glycerin Aloe Vera Vitamin E Hyaluronic Acid,A mattifying and brightening serum enriched with Niacinamide and Jojoba Oil,affordable,1.0,0.5,0.5,1.0,1.0
Maybelline Cleanser After,Maybelline,Cleanser,75.92,4.9,Tea Tree Oil Centella Asiatica Glycolic Acid Zinc Niacinamide Ceramides Retinol Salicylic Acid,A revitalizing and calming cleanser enriched with Tea Tree Oil and Centella Asiatica,luxury,0.5,1.0,0.5,0.5,0.0
Glossier Moisturizer Number,Glossier,Moisturizer,70.98,3.5,Bisabolol Centella Asiatica Green Tea Glycerin Chamomile Oatmeal Aloe Vera,A revitalizing and clarifying moisturizer enriched with Bisabolol and Centella Asiatica,luxury,1.0,0.0,1.0,1.0,0.5
Tatcha Lipstick Financial,Tatcha,Lipstick,84.74,4.7,Niacinamide Charcoal Peptides Vitamin E Vitamin E Antioxidants,A hydrating and clarifying lipstick enriched with Niacinamide and Charcoal,luxury,0.0,1.0,0.0,1.0,1.0
Clinique Mask Environment,Clinique,Mask,59.8,4.7,Squalane Jojoba Oil Green Tea Hyaluronic Acid Glycerin Green Tea Ceramides Charcoal,A soothing and revitalizing mask enriched with Squalane and Jojoba Oil,premium,1.0,0.5,0.5,1.0,0.0
Neutrogena Concealer Tend,Neutrogena,Concealer,60.52,3.7,Witch Hazel Aloe Vera Clay Niacinamide,A calming and clarifying concealer enriched with Witch Hazel and Aloe Vera,premium,0.5,1.0,0.5,1.0,0.5
Estee Lauder Mask Research,Estee Lauder,Mask,59.99,4.7,Jojoba Oil Shea Butter Madecassoside Ceramides Ceramides Avocado Oil Squalane,A soothing and nourishing mask enriched with Jojoba Oil and Shea Butter,premium,1.0,0.0,0.0,0.5,0.0
Glossier Moisturizer A,Glossier,Moisturizer,14.26,4.7,Clay Witch Hazel Charcoal Ceramides Oatmeal,A mattifying and nourishing moisturizer enriched with Clay and Witch Hazel,budget,0.5,1.0,0.5,0.0,0.0
Estee Lauder Moisturizer Policy,Estee Lauder,Moisturizer,46.19,4.3,Hyaluronic Acid Jojoba Oil Ceramides Glycerin Aloe Vera,A calming and soothing moisturizer enriched with Hyaluronic Acid and Jojoba Oil,affordable,1.0,0.0,0.5,1.0,0.5
Rare Beauty Foundation Already,Rare Beauty,Foundation,38.79,4.2,Niacinamide Aloe Vera Squalane Ceramides Vitamin E Madecassoside,A clarifying and soothing foundation enriched with Niacinamide and Aloe Vera,affordable,1.0,0.5,0.5,1.0,1.0
L Oreal Eyeshadow May,L Oreal,Eyeshadow,61.26,4.8,Madecassoside Chamomile Charcoal Bisabolol Panthenol Aloe Vera,A mattifying and revitalizing eyeshadow enriched with Madecassoside and Chamomile,premium,0.5,0.5,1.0,0.5,0.5
Glossier Blush Thousand,Glossier,Blush,53.93,4.1,Retinol Calendula Tea Tree Oil Clay Glycolic Acid Antioxidants Kaolin Niacinamide,A anti aging and clarifying blush enriched with Retinol and Calendula,premium,0.0,1.0,0.5,0.5,0.5
Laneige Mask Out,Laneige,Mask,23.3,3.4,Witch Hazel Vitamin C Antioxidants Peptides Vitamin E,A clarifying and soothing mask enriched with Witch Hazel and Vitamin C,budget,0.0,0.5,0.0,0.5,1.0
Clinique Blush Attorney,Clinique,Blush,42.8,3.8,Aloe Vera Avocado Oil Vitamin E Jojoba Oil Hyaluronic Acid,A clarifying and nourishing blush enriched with Aloe Vera and Avocado Oil,affordable,1.0,0.0,0.5,1.0,1.0
Drunk Elephant Foundation Few,Drunk Elephant,Foundation,89.02,3.1,Niacinamide Glycerin,A soothing and mattifying foundation enriched with Niacinamide and Glycerin,luxury,0.5,0.5,0.0,1.0,0.0
NYX Eyeshadow State,NYX,Eyeshadow,84.34,3.7,Tea Tree Oil Kaolin Vitamin E Charcoal Clay Glycolic Acid Retinol,A revitalizing and brightening eyeshadow enriched with Tea Tree Oil and Kaolin,luxury,0.0,1.0,0.0,0.5,0.5
The Ordinary Cleanser Member,The Ordinary,Cleanser,73.58,3.5,Green Tea Niacinamide Ceramides Aloe Vera,A anti aging and mattifying cleanser enriched with Green Tea and Niacinamide,luxury,1.0,0.5,1.0,1.0,0.5
The Ordinary Blush Financial,The Ordinary,Blush,39.39,3.2,Retinol Vitamin E Glycolic Acid Bisabolol,A brightening and hydrating blush enriched with Retinol and Vitamin E,affordable,0.0,0.0,0.0,0.5,0.5
Laneige Concealer Clearly,Laneige,Concealer,41.03,4.3,Niacinamide Allantoin Glycolic Acid Kaolin Clay Squalane Tea Tree Oil Charcoal,A revitalizing and soothing concealer enriched with Niacinamide and Allantoin,affordable,0.5,1.0,0.5,0.5,0.0
Fenty Beauty Concealer Stuff,Fenty Beauty,Concealer,10.96,4.8,Argan Oil Glycerin Tea Tree Oil Shea Butter Green Tea Squalane Aloe Vera Avocado Oil,A brightening and mattifying concealer enriched with Argan Oil and Glycerin,budget,1.0,0.5,1.0,1.0,0.5
Drunk Elephant Serum Event,Drunk Elephant,Serum,20.46,3.9,Madecassoside Oatmeal Panthenol Aloe Vera Centella Asiatica Vitamin C,A brightening and hydrating serum enriched with Madecassoside and Oatmeal,budget,0.5,0.0,1.0,0.5,1.0
CeraVe Blush Capital,CeraVe,Blush,42.47,4.6,Green Tea Kaolin Tea Tree Oil Glycolic Acid Retinol Salicylic Acid Vitamin E,A soothing and revitalizing blush enriched with Green Tea and Kaolin,affordable,0.0,1.0,0.5,0.5,0.5
Fenty Beauty Foundation Become,Fenty Beauty,Foundation,67.7,3.3,Vitamin C Vitamin E Zinc Hyaluronic Acid Coenzyme Q10,A hydrating and mattifying foundation enriched with Vitamin C and Vitamin E,premium,0.5,0.5,0.0,1.0,1.0
Laneige Concealer Back,Laneige,Concealer,62.19,3.9,Glycerin Hyaluronic Acid Glycolic Acid Calendula Aloe Vera,A anti aging and nourishing concealer enriched with Glycerin and Hyaluronic Acid,premium,1.0,0.0,1.0,1.0,0.5
Neutrogena Serum Southern,Neutrogena,Serum,14.04,3.4,Niacinamide Green Tea Squalane Clay Vitamin E Shea Butter Hyaluronic Acid,A revitalizing and pore minimizing serum enriched with Niacinamide and Green Tea,budget,1.0,1.0,0.5,1.0,0.5
Laneige Blush Lot,Laneige,Blush,36.99,4.4,Hyaluronic Acid Hyaluronic Acid Jojoba Oil Green Tea Squalane Shea Butter,A hydrating and soothing blush enriched with Hyaluronic Acid and Hyaluronic Acid,affordable,1.0,0.0,0.5,1.0,0.0
Neutrogena Concealer Require,Neutrogena,Concealer,61.65,3.3,Jojoba Oil Shea Butter Glycerin,A revitalizing and mattifying concealer enriched with Jojoba Oil and Shea Butter,premium,1.0,0.0,0.0,1.0,0.0
Tatcha Concealer Life,Tatcha,Concealer,50.57,3.1,Hyaluronic Acid Vitamin E Ceramides Aloe Vera Antioxidants,A brightening and nourishing concealer enriched with Hyaluronic Acid and Vitamin E,premium,1.0,0.0,0.5,1.0,1.0
Innisfree Concealer World,Innisfree,Concealer,32.41,3.7,Jojoba Oil Kaolin Bisabolol Glycerin Niacinamide Ceramides Hyaluronic Acid,A pore minimizing and revitalizing concealer enriched with Jojoba Oil and Kaolin,affordable,1.0,0.5,0.0,1.0,0.0
Rare Beauty Foundation Special,Rare Beauty,Foundation,89.06,4.1,Ceramides Green Tea Squalane Niacinamide Jojoba Oil,A hydrating and nourishing foundation enriched with Ceramides and Green Tea,luxury,1.0,0.5,0.5,1.0,0.0
Fenty Beauty Sunscreen Six,Fenty Beauty,Sunscreen,72.45,3.1,Argan Oil Shea Butter,A pore minimizing and calming sunscreen enriched with Argan Oil and Shea Butter,luxury,0.5,0.0,0.0,0.0,0.0
The Ordinary Eyeshadow Million,The Ordinary,Eyeshadow,49.0,3.2,Green Tea Avocado Oil Jojoba Oil,A soothing and clarifying eyeshadow enriched with Green Tea and Avocado Oil,premium,0.5,0.0,0.5,0.5,0.0
NYX Foundation Card,NYX,Foundation,62.02,3.5,Vitamin C Clay Peptides,A calming and soothing foundation enriched with Vitamin C and Clay,premium,0.0,0.5,0.0,0.0,1.0
Rare Beauty Concealer Great,Rare Beauty,Concealer,21.78,4.1,Hyaluronic Acid Clay Niacinamide Squalane Glycerin Aloe Vera,A brightening and mattifying concealer enriched with Hyaluronic Acid and Clay,budget,1.0,1.0,0.5,1.0,0.5
NYX Mask Operation,NYX,Mask,75.9,4.0,Hyaluronic Acid Shea Butter Glycerin Argan Oil Aloe Vera,A soothing and mattifying mask enriched with Hyaluronic Acid and Shea Butter,luxury,1.0,0.0,0.5,1.0,0.5
Rare Beauty Foundation Movement,Rare Beauty,Foundation,80.35,3.8,Squalane Glycolic Acid Green Tea Aloe Vera Bisabolol Chamomile Calendula,A anti aging and revitalizing foundation enriched with Squalane and Glycolic Acid,luxury,1.0,0.0,1.0,0.5,0.5
The Ordinary Blush Affect,The Ordinary,Blush,49.16,4.9,Oatmeal Jojoba Oil Vitamin E Niacinamide,A calming and nourishing blush enriched with Oatmeal and Jojoba Oil,premium,0.5,0.5,0.5,1.0,0.5
Innisfree Foundation Management,Innisfree,Foundation,69.14,4.9,Aloe Vera Witch Hazel Niacinamide Avocado Oil Zinc,A hydrating and pore minimizing foundation enriched with Aloe Vera and Witch Hazel,premium,0.5,1.0,0.5,1.0,0.5
Clinique Lipstick Clearly,Clinique,Lipstick,45.65,3.7,Calendula Hyaluronic Acid Aloe Vera Niacinamide Ceramides Glycerin,A anti aging and mattifying lipstick enriched with Calendula and Hyaluronic Acid,affordable,1.0,0.5,1.0,1.0,0.5
Fenty Beauty Moisturizer Sign,Fenty Beauty,Moisturizer,64.12,4.7,Panthenol Oatmeal,A clarifying and soothing moisturizer enriched with Panthenol and Oatmeal,premium,0.0,0.0,0.5,0.0,0.0
Tatcha Eyeshadow To,Tatcha,Eyeshadow,8.42,3.1,Glycerin Hyaluronic Acid Vitamin E Aloe Vera Green Tea Ceramides,A mattifying and pore minimizing eyeshadow enriched with Glycerin and Hyaluronic Acid,budget,1.0,0.0,1.0,1.0,1.0
Drunk Elephant Mask Before,Drunk Elephant,Mask,61.82,4.8,Aloe Vera Glycerin,A anti aging and nourishing mask enriched with Aloe Vera and Glycerin,premium,1.0,0.0,0.5,1.0,0.5
Innisfree Concealer Fine,Innisfree,Concealer,59.25,3.8,Ceramides Aloe Vera Jojoba Oil Squalane Aloe Vera Avocado Oil Niacinamide,A soothing and calming concealer enriched with Ceramides and Aloe Vera,premium,1.0,0.5,0.5,1.0,0.5
The Ordinary Serum Film,The Ordinary,Serum,70.82,4.8,Jojoba Oil Kaolin Avocado Oil Aloe Vera,A anti aging and soothing serum enriched with Jojoba Oil and Kaolin,luxury,1.0,0.0,0.5,1.0,0.5
Innisfree Eyeshadow Range,Innisfree,Eyeshadow,73.99,4.2,Aloe Vera Retinol Glycerin Squalane Jojoba Oil Vitamin E Niacinamide,A hydrating and revitalizing eyeshadow enriched with Aloe Vera and Retinol,luxury,1.0,0.5,0.5,1.0,1.0
Clinique Foundation Single,Clinique,Foundation,61.32,4.3,Aloe Vera Vitamin E Glycerin,A soothing and anti aging foundation enriched with Aloe Vera and Vitamin E,premium,1.0,0.0,0.5,1.0,1.0
NYX Sunscreen These,NYX,Sunscreen,16.45,3.7,Aloe Vera Peptides Vitamin E Jojoba Oil Antioxidants,A pore minimizing and soothing sunscreen enriched with Aloe Vera and Peptides,budget,1.0,0.0,0.5,1.0,1.0
Rare Beauty Mask Significant,Rare Beauty,Mask,64.51,3.3,Niacinamide Green Tea Glycerin Hyaluronic Acid,A clarifying and calming mask enriched with Niacinamide and Green Tea,premium,1.0,0.5,0.5,1.0,0.0
Estee Lauder Lipstick Around,Estee Lauder,Lipstick,70.88,4.2,Bisabolol Vitamin E Centella Asiatica,A calming and clarifying lipstick enriched with Bisabolol and Vitamin E,luxury,0.0,0.0,0.5,0.5,0.5
Maybelline Eyeshadow Computer,Maybelline,Eyeshadow,80.62,3.9,Centella Asiatica Argan Oil Green Tea,A anti aging and mattifying eyeshadow enriched with Centella Asiatica and Argan Oil,luxury,0.0,0.0,1.0,0.0,0.0
Maybelline Blush Learn,Maybelline,Blush,17.31,3.7,Shea Butter Vitamin E Aloe Vera Glycerin Ceramides Charcoal,A anti aging and nourishing blush enriched with Shea Butter and Vitamin E,budget,1.0,0.5,0.5,1.0,1.0
Fenty Beauty Mask Exactly,Fenty Beauty,Mask,89.37,3.8,Salicylic Acid Niacinamide Clay Witch Hazel Charcoal Glycolic Acid,A pore minimizing and clarifying mask enriched with Salicylic Acid and Niacinamide,luxury,0.0,1.0,0.0,0.5,0.0
Fenty Beauty Blush Less,Fenty Beauty,Blush,22.21,4.3,Vitamin E Antioxidants Hyaluronic Acid Peptides Vitamin C,A revitalizing and calming blush enriched with Vitamin E and Antioxidants,budget,0.5,0.0,0.0,1.0,1.0
L Oreal Foundation Structure,L Oreal,Foundation,42.45,4.6,Coenzyme Q10 Jojoba Oil Ceramides Avocado Oil Squalane Aloe Vera,A brightening and calming foundation enriched with Coenzyme Q10 and Jojoba Oil,affordable,1.0,0.0,0.5,1.0,1.0
Innisfree Cleanser At,Innisfree,Cleanser,40.94,3.4,Panthenol Calendula Coenzyme Q10 Hyaluronic Acid Centella Asiatica Green Tea,A mattifying and brightening cleanser enriched with Panthenol and Calendula,affordable,0.5,0.0,1.0,0.5,0.5
Maybelline Concealer Run,Maybelline,Concealer,44.57,3.3,Jojoba Oil Aloe Vera Chamomile Glycerin,A mattifying and nourishing concealer enriched with Jojoba Oil and Aloe Vera,affordable,1.0,0.0,1.0,1.0,0.5
Neutrogena Blush Politics,Neutrogena,Blush,74.24,4.2,Ceramides Peptides Aloe Vera Coenzyme Q10 Hyaluronic Acid Vitamin E Niacinamide,A anti aging and calming blush enriched with Ceramides and Peptides,luxury,1.0,0.5,0.5,1.0,1.0
Estee Lauder Serum Catch,Estee Lauder,Serum,40.55,3.2,Peptides Vitamin E Aloe Vera Antioxidants Niacinamide,A nourishing and pore minimizing serum enriched with Peptides and Vitamin E,affordable,0.5,0.5,0.5,1.0,1.0
Laneige Foundation Parent,Laneige,Foundation,43.41,3.4,Vitamin C Squalane Peptides Hyaluronic Acid Antioxidants Green Tea Coenzyme Q10,A calming and mattifying foundation enriched with Vitamin C and Squalane,affordable,1.0,0.0,0.5,0.5,1.0
NYX Foundation Keep,NYX,Foundation,62.28,3.7,Squalane Glycerin Ceramides Hyaluronic Acid Shea Butter Jojoba Oil,A mattifying and clarifying foundation enriched with Squalane and Glycerin,premium,1.0,0.0,0.0,1.0,0.0
Fenty Beauty Eyeshadow To,Fenty Beauty,Eyeshadow,62.23,3.1,Hyaluronic Acid Aloe Vera Argan Oil,A calming and hydrating eyeshadow enriched with Hyaluronic Acid and Aloe Vera,premium,1.0,0.0,0.5,1.0,0.5
Innisfree Mask Race,Innisfree,Mask,35.68,4.9,Zinc Clay Niacinamide Peptides,A revitalizing and hydrating mask enriched with Zinc and Clay,affordable,0.0,1.0,0.0,0.5,0.5
Innisfree Serum Daughter,Innisfree,Serum,15.12,3.9,Shea Butter Hyaluronic Acid Squalane Ceramides Vitamin E Ceramides,A brightening and calming serum enriched with Shea Butter and Hyaluronic Acid,budget,1.0,0.0,0.0,1.0,0.5
Tatcha Blush Quality,Tatcha,Blush,89.61,4.4,Zinc Retinol Vitamin E Glycolic Acid Witch Hazel Salicylic Acid Green Tea,A clarifying and pore minimizing blush enriched with Zinc and Retinol,luxury,0.0,1.0,0.5,0.5,0.5
CeraVe Blush Coach,CeraVe,Blush,83.54,4.6,Panthenol Witch Hazel Chamomile Calendula Vitamin E,A hydrating and nourishing blush enriched with Panthenol and Witch Hazel,luxury,0.0,0.5,1.0,0.5,0.5
Glossier Foundation Entire,Glossier,Foundation,50.71,4.5,Charcoal Hyaluronic Acid Clay Niacinamide,A nourishing and calming foundation enriched with Charcoal and Hyaluronic Acid,premium,0.5,1.0,0.0,1.0,0.0
Neutrogena Blush Budget,Neutrogena,Blush,28.61,3.7,Salicylic Acid Madecassoside Charcoal Clay,A calming and mattifying blush enriched with Salicylic Acid and Madecassoside,affordable,0.0,1.0,0.0,0.0,0.0
Glossier Concealer Bank,Glossier,Concealer,38.5,4.9,Allantoin Centella Asiatica Oatmeal Chamomile,A clarifying and anti aging concealer enriched with Allantoin and Centella Asiatica,affordable,0.0,0.0,1.0,0.0,0.0
L Oreal Concealer Thank,L Oreal,Concealer,77.04,4.1,Glycerin Hyaluronic Acid Green Tea Retinol,A nourishing and anti aging concealer enriched with Glycerin and Hyaluronic Acid,luxury,1.0,0.0,0.5,1.0,0.0
Fenty Beauty Eyeshadow Participant,Fenty Beauty,Eyeshadow,44.48,3.2,Jojoba Oil Vitamin E Hyaluronic Acid,A mattifying and calming eyeshadow enriched with Jojoba Oil and Vitamin E,affordable,1.0,0.0,0.0,1.0,0.5
CeraVe Blush One,CeraVe,Blush,84.6,3.7,Peptides Hyaluronic Acid Green Tea Green Tea Ceramides Niacinamide,A revitalizing and brightening blush enriched with Peptides and Hyaluronic Acid,luxury,1.0,0.5,0.5,1.0,0.5
CeraVe Mask Appear,CeraVe,Mask,33.94,4.0,Kaolin Clay Witch Hazel Charcoal,A pore minimizing and clarifying mask enriched with Kaolin and Clay,affordable,0.0,1.0,0.0,0.0,0.0
Drunk Elephant Lipstick Upon,Drunk Elephant,Lipstick,79.04,4.5,Argan Oil Ceramides,A pore minimizing and calming lipstick enriched with Argan Oil and Ceramides,luxury,0.5,0.0,0.0,0.0,0.0
CeraVe Blush Cut,CeraVe,Blush,78.24,4.1,Antioxidants Niacinamide Ceramides Vitamin C Vitamin E Ceramides Hyaluronic Acid,A soothing and brightening blush enriched with Antioxidants and Niacinamide,luxury,1.0,0.5,0.0,1.0,1.0
Fenty Beauty Mask Film,Fenty Beauty,Mask,61.68,4.3,Clay Kaolin Glycolic Acid Retinol Hyaluronic Acid Zinc Ceramides,A anti aging and pore minimizing mask enriched with Clay and Kaolin,premium,1.0,1.0,0.0,0.5,0.0
NYX Serum Hospital,NYX,Serum,58.61,3.1,Witch Hazel Retinol Hyaluronic Acid Zinc Tea Tree Oil,A clarifying and pore minimizing serum enriched with Witch Hazel and Retinol,premium,0.5,1.0,0.0,0.5,0.0
Neutrogena Cleanser Scene,Neutrogena,Cleanser,89.52,3.9,Niacinamide Retinol Charcoal Tea Tree Oil,A calming and brightening cleanser enriched with Niacinamide and Retinol,luxury,0.0,1.0,0.0,0.5,0.0
Tatcha Sunscreen Coach,Tatcha,Sunscreen,44.45,4.4,Jojoba Oil Avocado Oil Aloe Vera Vitamin E,A soothing and nourishing sunscreen enriched with Jojoba Oil and Avocado Oil,affordable,1.0,0.0,0.5,1.0,1.0
Neutrogena Blush Shoulder,Neutrogena,Blush,10.72,4.1,Centella Asiatica Green Tea Aloe Vera Niacinamide Calendula Panthenol Oatmeal,A calming and soothing blush enriched with Centella Asiatica and Green Tea,budget,0.5,0.5,1.0,1.0,0.5
Maybelline Mask Rest,Maybelline,Mask,75.92,3.5,Oatmeal Aloe Vera Allantoin Glycerin Green Tea Panthenol Madecassoside Squalane,A revitalizing and soothing mask enriched with Oatmeal and Aloe Vera,luxury,1.0,0.0,1.0,1.0,0.5
Estee Lauder Concealer Poor,Estee Lauder,Concealer,72.61,4.6,Charcoal Centella Asiatica Chamomile Madecassoside Allantoin,A nourishing and anti aging concealer enriched with Charcoal and Centella Asiatica,luxury,0.0,0.5,1.0,0.0,0.0
Drunk Elephant Foundation Of,Drunk Elephant,Foundation,17.98,4.8,Salicylic Acid Peptides Aloe Vera Antioxidants Vitamin C Hyaluronic Acid Niacinamide,A brightening and anti aging foundation enriched with Salicylic Acid and Peptides,budget,1.0,1.0,0.5,1.0,1.0
Glossier Moisturizer Argue,Glossier,Moisturizer,45.04,3.8,Salicylic Acid Clay Oatmeal Glycolic Acid Jojoba Oil,A mattifying and soothing moisturizer enriched with Salicylic Acid and Clay,affordable,0.5,1.0,0.5,0.5,0.0
The Ordinary Cleanser Now,The Ordinary,Cleanser,46.84,4.9,Glycerin Aloe Vera,A nourishing and brightening cleanser enriched with Glycerin and Aloe Vera,affordable,1.0,0.0,0.5,1.0,0.5
Fenty Beauty Sunscreen Try,Fenty Beauty,Sunscreen,8.2,5.0,Argan Oil Ceramides Vitamin E Green Tea Squalane,A clarifying and nourishing sunscreen enriched with Argan Oil and Ceramides,budget,1.0,0.0,0.5,0.5,0.5
Rare Beauty Serum Travel,Rare Beauty,Serum,30.77,4.3,Hyaluronic Acid Green Tea Witch Hazel Ceramides Glycerin Squalane Niacinamide,A brightening and mattifying serum enriched with Hyaluronic Acid and Green Tea,affordable,1.0,1.0,0.5,1.0,0.0
CeraVe Mask Her,CeraVe,Mask,62.8,3.4,Niacinamide Witch Hazel Glycolic Acid Niacinamide Squalane Clay,A hydrating and clarifying mask enriched with Niacinamide and Witch Hazel,premium,0.5,1.0,0.0,0.5,0.0
Rare Beauty Lipstick Eight,Rare Beauty,Lipstick,54.85,3.6,Vitamin E Ceramides Retinol Antioxidants Hyaluronic Acid Vitamin C Peptides,A nourishing and mattifying lipstick enriched with Vitamin E and Ceramides,premium,1.0,0.0,0.0,1.0,1.0
Laneige Serum Red,Laneige,Serum,52.4,4.8,Madecassoside Chamomile Bisabolol Calendula,A anti aging and nourishing serum enriched with Madecassoside and Chamomile,premium,0.0,0.0,1.0,0.0,0.0
CeraVe Mask Police,CeraVe,Mask,18.62,3.4,Glycolic Acid Charcoal Retinol Salicylic Acid Witch Hazel Niacinamide Chamomile Kaolin,A revitalizing and hydrating mask enriched with Glycolic Acid and Charcoal,budget,0.0,1.0,0.5,0.5,0.0
Maybelline Blush Opportunity,Maybelline,Blush,8.88,4.6,Allantoin Calendula Madecassoside Panthenol Oatmeal,A soothing and hydrating blush enriched with Allantoin and Calendula,budget,0.0,0.0,1.0,0.0,0.0
Neutrogena Serum Across,Neutrogena,Serum,17.44,4.8,Panthenol Aloe Vera Allantoin Oatmeal,A soothing and revitalizing serum enriched with Panthenol and Aloe Vera,budget,0.5,0.0,1.0,0.5,0.5
CeraVe Sunscreen Risk,CeraVe,Sunscreen,10.64,3.8,Charcoal Clay,A mattifying and pore minimizing sunscreen enriched with Charcoal and Clay,budget,0.0,1.0,0.0,0.0,0.0
Maybelline Eyeshadow Together,Maybelline,Eyeshadow,35.89,3.4,Glycerin Jojoba Oil Vitamin E Squalane,A brightening and soothing eyeshadow enriched with Glycerin and Jojoba Oil,affordable,1.0,0.0,0.0,1.0,0.5
Innisfree Lipstick Big,Innisfree,Lipstick,42.2,4.3,Green Tea Squalane Coenzyme Q10 Aloe Vera Niacinamide Vitamin E Calendula,A calming and soothing lipstick enriched with Green Tea and Squalane,affordable,1.0,0.5,1.0,1.0,1.0
L Oreal Cleanser Finish,L Oreal,Cleanser,79.77,4.6,Niacinamide Tea Tree Oil Peptides Ceramides Aloe Vera,A calming and nourishing cleanser enriched with Niacinamide and Tea Tree Oil,luxury,1.0,1.0,0.5,1.0,1.0
The Ordinary Concealer Sea,The Ordinary,Concealer,35.18,4.1,Green Tea Allantoin Aloe Vera Squalane Centella Asiatica,A hydrating and revitalizing concealer enriched with Green Tea and Allantoin,affordable,1.0,0.0,1.0,0.5,0.5
Laneige Serum And,Laneige,Serum,48.61,3.2,Squalane Witch Hazel Ceramides Bisabolol,A calming and brightening serum enriched with Squalane and Witch Hazel,premium,1.0,0.5,0.0,0.0,0.0
Clinique Cleanser Science,Clinique,Cleanser,40.78,4.1,Salicylic Acid Antioxidants Vitamin C,A clarifying and revitalizing cleanser enriched with Salicylic Acid and Antioxidants,affordable,0.0,0.5,0.0,0.0,1.0
